date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:57:34	79500/79500	---M--	200	added ('OK')	text/html	date:Thu,%2004%20May%202017%2011:57:37%20GMT	https://agmstudio.io/themes/material-style/1.2.1/page-contact.html	D:/Plantilla-Material%20Style-Boostrap/material_style/agmstudio.io/themes/material-style/1.2.1/page-contact.html	(from )
07:57:39	79473/79473	---M--	200	added ('OK')	text/html	date:Thu,%2004%20May%202017%2011:57:42%20GMT	https://agmstudio.io/themes/material-style/1.2.1/page-contact2.html	D:/Plantilla-Material%20Style-Boostrap/material_style/agmstudio.io/themes/material-style/1.2.1/page-contact2.html	(from )
07:57:49	19209/19209	---M--	200	added ('OK')	text/html	date:Thu,%2004%20May%202017%2011:57:52%20GMT	https://agmstudio.io/themes/material-style/1.2.1/page-login_register.html	D:/Plantilla-Material%20Style-Boostrap/material_style/agmstudio.io/themes/material-style/1.2.1/page-login_register.html	(from )
07:58:00	110/-1	---M--	408	error ('Request%20Time-out')	text/html		https://agmstudio.io/themes/material-style/1.2.1/page-login.html	D:/Plantilla-Material%20Style-Boostrap/material_style/agmstudio.io/themes/material-style/1.2.1/page-login.25.delayed	(from )
07:58:06	78333/78333	---M--	200	added ('OK')	text/html	date:Thu,%2004%20May%202017%2011:58:09%20GMT	https://agmstudio.io/themes/material-style/1.2.1/page-login2.html	D:/Plantilla-Material%20Style-Boostrap/material_style/agmstudio.io/themes/material-style/1.2.1/page-login2.html	(from )
07:58:24	81178/81178	---M--	200	added ('OK')	text/html	date:Thu,%2004%20May%202017%2011:58:27%20GMT	https://agmstudio.io/themes/material-style/1.2.1/page-login_register2.html	D:/Plantilla-Material%20Style-Boostrap/material_style/agmstudio.io/themes/material-style/1.2.1/page-login_register2.html	(from )
07:58:33	79729/79729	---M--	200	added ('OK')	text/html	date:Thu,%2004%20May%202017%2011:58:36%20GMT	https://agmstudio.io/themes/material-style/1.2.1/page-register2.html	D:/Plantilla-Material%20Style-Boostrap/material_style/agmstudio.io/themes/material-style/1.2.1/page-register2.html	(from )
07:58:41	91971/91971	---M--	200	added ('OK')	text/html	date:Thu,%2004%20May%202017%2011:58:44%20GMT	https://agmstudio.io/themes/material-style/1.2.1/page-profile.html	D:/Plantilla-Material%20Style-Boostrap/material_style/agmstudio.io/themes/material-style/1.2.1/page-profile.html	(from )
07:58:55	93782/93782	---M--	200	added ('OK')	text/html	date:Thu,%2004%20May%202017%2011:58:58%20GMT	https://agmstudio.io/themes/material-style/1.2.1/page-profile2.html	D:/Plantilla-Material%20Style-Boostrap/material_style/agmstudio.io/themes/material-style/1.2.1/page-profile2.html	(from )
07:59:01	12690/12690	---M--	200	added ('OK')	text/html	date:Thu,%2004%20May%202017%2011:59:05%20GMT	https://agmstudio.io/themes/material-style/1.2.1/page-404.html	D:/Plantilla-Material%20Style-Boostrap/material_style/agmstudio.io/themes/material-style/1.2.1/page-404.html	(from )
07:59:10	77078/77078	---M--	200	added ('OK')	text/html	date:Thu,%2004%20May%202017%2011:59:13%20GMT	https://agmstudio.io/themes/material-style/1.2.1/page-404_2.html	D:/Plantilla-Material%20Style-Boostrap/material_style/agmstudio.io/themes/material-style/1.2.1/page-404_2.html	(from )
07:59:18	12701/12701	---M--	200	added ('OK')	text/html	date:Thu,%2004%20May%202017%2011:59:22%20GMT	https://agmstudio.io/themes/material-style/1.2.1/page-500.html	D:/Plantilla-Material%20Style-Boostrap/material_style/agmstudio.io/themes/material-style/1.2.1/page-500.html	(from )
07:59:29	77100/77100	---M--	200	added ('OK')	text/html	date:Thu,%2004%20May%202017%2011:59:32%20GMT	https://agmstudio.io/themes/material-style/1.2.1/page-500_2.html	D:/Plantilla-Material%20Style-Boostrap/material_style/agmstudio.io/themes/material-style/1.2.1/page-500_2.html	(from )
07:59:35	81645/81645	---M--	200	added ('OK')	text/html	date:Thu,%2004%20May%202017%2011:59:38%20GMT	https://agmstudio.io/themes/material-style/1.2.1/page-testimonial.html	D:/Plantilla-Material%20Style-Boostrap/material_style/agmstudio.io/themes/material-style/1.2.1/page-testimonial.html	(from )
07:59:43	81380/81380	---M--	200	added ('OK')	text/html	date:Thu,%2004%20May%202017%2011:59:47%20GMT	https://agmstudio.io/themes/material-style/1.2.1/page-clients.html	D:/Plantilla-Material%20Style-Boostrap/material_style/agmstudio.io/themes/material-style/1.2.1/page-clients.html	(from )
07:59:50	92524/92524	---M--	200	added ('OK')	text/html	date:Thu,%2004%20May%202017%2011:59:53%20GMT	https://agmstudio.io/themes/material-style/1.2.1/page-product.html	D:/Plantilla-Material%20Style-Boostrap/material_style/agmstudio.io/themes/material-style/1.2.1/page-product.html	(from )
